StudentNumber,FirstName,LastName,MobilePhone,Email,AdviserName
20240001,Supachai,Chaiyaporn,812345678,supachai.ch@email.com,Somchai Inthanon
20240002,Siriporn,Sukjai,898765432,siriporn.s@email.com,Anong Wichian
20240003,Nattapong,Wongchai,861234567,nattapong.w@email.com,Kittipong Rattanachai
20240004,Ananya,Phromdee,839876543,ananya.p@email.com,Ratchanee Thepparat
20240005,Kritsada,Maneewan,923456789,kritsada.m@email.com,Surasak Khamdee
20240006,Somchai,Buranapan,845671234,somchai.b@email.com,Malee Srisuk
20240007,Wanida,Theeranuch,887654321,wanida.t@email.com,Niran Boonmee
20240008,Thanakorn,Jariyawat,803456789,thanakorn.j@email.com,Suda Jitprasert
20240009,Pimchanok,Thavorn,876543210,pimchanok.t@email.com,Chanin Kongsri
20240010,Chatchai,Prasert,854321098,chatchai.p@email.com,Wilaiwan Chaisri
