StudentNumber,FirstName,LastName,MobilePhone,Email,AdviserName
20240001,Supachai,Chaiyaporn,812345678,supachai.ch@email.com,Dr. Somchai Inthanon
20240002,Siriporn,Sukjai,898765432,siriporn.s@email.com,Asst.Prof. Anong Wichian
20240003,Nattapong,Wongchai,861234567,nattapong.w@email.com,Dr. Kittipong Rattanachai
20240004,Ananya,Phromdee,839876543,ananya.p@email.com,Prof. Ratchanee Thepparat
20240005,Kritsada,Maneewan,923456789,kritsada.m@email.com,Dr. Surasak Khamdee
20240006,Somchai,Buranapan,845671234,somchai.b@email.com,Asst.Prof. Malee Srisuk
20240007,Wanida,Theeranuch,887654321,wanida.t@email.com,Dr. Niran Boonmee
20240008,Thanakorn,Jariyawat,803456789,thanakorn.j@email.com,Prof. Suda Jitprasert
20240009,Pimchanok,Thavorn,876543210,pimchanok.t@email.com,Dr. Chanin Kongsri
20240010,Chatchai,Prasert,854321098,chatchai.p@email.com,Asst.Prof. Wilaiwan Chaisri
